ACTION	FREQ
RATED	6271
REJECTED-SUGGESTION	102
FOLLOWED-SUGGESTION	679
VIEWED	74786
CERTIFIED	2966
EDITED	2478
CREATED	3194
REPORTED	741
ACQUIRED-BY-MODERATOR	823
QUEUED-FOR-MODERATOR	655
CLOSED	110
QUEUED-FOR-AUTHOR	75
COMMENTED	1411
LEAVE-CERTIFIED	342
HID-ARGUMENTS	424
MOVED	747
FIXED	28
OPEN-BRANCH	62
OPENED-BRANCH	1551
CLOSED-BRANCH	1092
SHOWED-ARGUMENTS	131
UNCERTIFIED	59
TRASHED	5
REQUESTED	1628
RELEASED	286
FOCUSED	528
ACQUIRED	506
PLACED-AFTER	2
UNBUNDLED-TO	7
UNBUNDLED-FROM	9
INCORPORATED	29
DUPLICATED-FROM	3
LOCKED	1
TRANSLATED	61
CLOSE-BRANCH	20
HIDE-ARGUMENTS	2
CHECKED	27
ADDED-SNIPPET	70
REMOVED-SNIPPET	3
